juntar(1870, 2812);
juntar(9716, 1404);
juntar(5212, 571);
juntar(3852, 3148);
juntar(4808, 2090);
juntar(2969, 9582);
juntar(6684, 8451);
juntar(3508, 5989);
juntar(7277, 3235);
juntar(2998, 8161);
juntar(3154, 7266);
juntar(5512, 5311);
juntar(437, 8342);
juntar(5869, 7178);
juntar(2809, 839);
juntar(9609, 6339);
juntar(2047, 9306);
juntar(9717, 1135);
juntar(473, 2190);
juntar(417, 6806);
juntar(356, 6693);
juntar(2942, 2457);
juntar(1399, 3450);
juntar(8144, 9270);
juntar(3735, 149);
juntar(6041, 1043);
juntar(503, 6554);
juntar(2953, 1567);
juntar(1091, 9464);
juntar(2749, 4615);
juntar(3331, 5065);
juntar(9915, 1381);
juntar(591, 7873);
juntar(8640, 7119);
juntar(7554, 9983);
juntar(3930, 3392);
juntar(6738, 1714);
juntar(7862, 4881);
juntar(6270, 4896);
juntar(6561, 5);
juntar(8351, 3026);
juntar(1165, 2759);
juntar(6909, 8311);
juntar(9177, 9102);
juntar(2473, 4209);
juntar(889, 5005);
juntar(2031, 3530);
juntar(9324, 4828);
juntar(1746, 6328);
juntar(1072, 8084);
juntar(795, 8919);
juntar(9740, 9862);
juntar(5307, 5175);
juntar(3349, 5148);
juntar(2411, 3913);
juntar(1924, 163);
juntar(5731, 1693);
juntar(1799, 4418);
juntar(5331, 8621);
juntar(8678, 5666);
juntar(7057, 5845);
juntar(2405, 6187);
juntar(8505, 7374);
juntar(2530, 2895);
juntar(1453, 5551);
juntar(5299, 5671);
juntar(3456, 9073);
juntar(9460, 7988);
juntar(4544, 4789);
juntar(442, 1440);
juntar(8492, 9686);
juntar(9835, 1086);
juntar(1940, 7445);
juntar(9918, 1649);
juntar(8826, 4738);
juntar(969, 5591);
juntar(2025, 6042);
juntar(2498, 2802);
juntar(8899, 2169);
juntar(8230, 8244);
juntar(2512, 6925);
juntar(8632, 8268);
juntar(5696, 8376);
juntar(4098, 8511);
juntar(843, 6014);
juntar(6550, 6290);
juntar(4344, 2829);
juntar(7087, 8259);
juntar(928, 1730);
juntar(2623, 9687);
juntar(9776, 9080);
juntar(4961, 5190);
juntar(1308, 4188);
juntar(1648, 2011);
juntar(756, 2539);
